batter,opportunities,successes,success_rate
Luke Williams,1,1,1.0
Enrique Hernández,4,4,1.0
Rafael Flores Jr.,5,4,0.8
Gabriel Gonzalez,4,3,0.75
John Rave,11,6,0.5454545454545454
Jace Jung,8,4,0.5
Justin Dean,2,1,0.5
Jeferson Quero,2,1,0.5
Cooper Pratt,22,11,0.5
Logan Porter,6,3,0.5
Jair Camargo,2,1,0.5
Nick Solak,10,5,0.5
Jordan Lawlar,41,19,0.4634146341463415
Stuart Fairchild,24,11,0.4583333333333333
Andrew Vaughn,121,54,0.4462809917355372
Samad Taylor,54,24,0.4444444444444444
Nick Madrigal,52,23,0.4423076923076923
Jonah Cox,16,7,0.4375
Iván Herrera,343,150,0.43731778425655976
Spencer Horwitz,285,123,0.43157894736842106
Henry Bolte,130,56,0.4307692307692308
Ryan Jeffers,144,62,0.4305555555555556
Tommy Edman,14,6,0.42857142857142855
Eloy Jiménez,35,15,0.42857142857142855
Junior Perez,7,3,0.42857142857142855
Ryan Kreidler,89,38,0.42696629213483145
Will Wagner,31,13,0.41935483870967744
Yordan Alvarez,339,142,0.41887905604719766
Yandy Díaz,308,129,0.41883116883116883
Connor Wong,94,39,0.4148936170212766
Jake Mangum,176,73,0.4147727272727273
Shohei Ohtani,321,133,0.4143302180685358
Gabriel Moreno,198,82,0.41414141414141414
Bryan Reynolds,331,137,0.41389728096676737
TJ Rumfield,310,128,0.4129032258064516
Brendan Donovan,97,40,0.41237113402061853
Juan Soto,260,107,0.4115384615384615
Bryce Harper,321,132,0.411214953271028
Jose Siri,73,30,0.410958904109589
Taylor Ward,365,150,0.410958904109589
Ryan Vilade,129,53,0.4108527131782946
Jonathan Aranda,314,129,0.410828025477707
Otto Lopez,329,135,0.41033434650455924
Cody Bellinger,320,131,0.409375
Jung Hoo Lee,286,117,0.4090909090909091
Kameron Misner,22,9,0.4090909090909091
Gleyber Torres,186,76,0.40860215053763443
Nick Kurtz,355,145,0.4084507042253521
Alejandro Osuna,130,53,0.4076923076923077
Geraldo Perdomo,307,125,0.40716612377850164
James Wood,359,146,0.40668523676880225
Troy Johnston,273,111,0.4065934065934066
Freddie Freeman,322,130,0.40372670807453415
Kevin McGonigle,327,132,0.4036697247706422
Gary Sánchez,149,60,0.40268456375838924
Willson Contreras,301,121,0.4019933554817276
Sam Antonacci,232,93,0.40086206896551724
Kevin Alcántara,10,4,0.4
Josh Rojas,5,2,0.4
Nelson Velázquez,35,14,0.4
Ryan Mountcastle,15,6,0.4
Hunter Feduccia,100,40,0.4
Michael Stefanic,5,2,0.4
Riley Greene,323,129,0.3993808049535604
Jac Caglianone,276,110,0.39855072463768115
Liam Hicks,289,115,0.39792387543252594
Munetaka Murakami,247,98,0.3967611336032389
Lars Nootbaar,58,23,0.39655172413793105
Dustin Harris,58,23,0.39655172413793105
Bryan Torres,53,21,0.39622641509433965
Carlos Cortes,207,82,0.3961352657004831
Bryce Eldridge,149,59,0.3959731543624161
Tyler Callihan,48,19,0.3958333333333333
Brice Turang,326,129,0.39570552147239263
Alec Burleson,326,129,0.39570552147239263
Miguel Rojas,124,49,0.3951612903225806
Travis Bazzana,200,79,0.395
Michael Busch,337,133,0.39465875370919884
Luis Arraez,337,133,0.39465875370919884
Randy Arozarena,299,118,0.39464882943143814
Nolan Schanuel,246,97,0.3943089430894309
Corbin Carroll,312,123,0.3942307692307692
Tyler Black,28,11,0.39285714285714285
Xavier Edwards,326,128,0.39263803680981596
Tristan Peters,218,85,0.38990825688073394
Ronald Acuña Jr.,236,92,0.3898305084745763
Dominic Smith,185,72,0.3891891891891892
Ali Sánchez,18,7,0.3888888888888889
Endy Rodríguez,85,33,0.38823529411764707
Josh Jung,304,118,0.3881578947368421
Vladimir Guerrero Jr.,312,121,0.38782051282051283
Cole Carrigg,49,19,0.3877551020408163
Brandon Lockridge,98,38,0.3877551020408163
Alex Call,111,43,0.38738738738738737
Tyler Freeman,199,77,0.3869346733668342
William Contreras,305,118,0.38688524590163936
Drake Baldwin,243,94,0.3868312757201646
Anthony Volpe,106,41,0.3867924528301887
Junior Caminero,321,124,0.3862928348909657
JJ Bleday,213,82,0.38497652582159625
Ben Rice,304,117,0.3848684210526316
Max Schuemann,39,15,0.38461538461538464
LaMonte Wade Jr.,13,5,0.38461538461538464
Miguel Amaya,125,48,0.384
Trevor Larnach,232,89,0.38362068965517243
JJ Wetherholt,326,125,0.3834355828220859
Jackson Chourio,193,74,0.38341968911917096
Isiah Kiner-Falefa,131,50,0.3816793893129771
Adley Rutschman,228,87,0.3815789473684211
Pete Crow-Armstrong,328,125,0.38109756097560976
Nick Sogard,42,16,0.38095238095238093
Braxton Fulford,42,16,0.38095238095238093
Heriberto Hernández,163,62,0.3803680981595092
CJ Abrams,321,122,0.38006230529595014
Carson Kelly,200,76,0.38
Elly De La Cruz,258,98,0.3798449612403101
Carlos Correa,137,52,0.3795620437956204
Richie Palacios,174,66,0.3793103448275862
Luis Campusano,58,22,0.3793103448275862
Kyle Schwarber,335,127,0.37910447761194027
Aaron Judge,256,97,0.37890625
Matt Shaw,132,50,0.3787878787878788
Matt Olson,336,127,0.37797619047619047
Oneil Cruz,278,105,0.3776978417266187
Leody Taveras,249,94,0.37751004016064255
Bobby Witt Jr.,342,129,0.37719298245614036
Fernando Tatis Jr.,321,121,0.37694704049844235
Sal Stewart,332,125,0.37650602409638556
Ryan O'Hearn,253,95,0.37549407114624506
José Azócar,16,6,0.375
Eric Wagaman,16,6,0.375
Brayan Rocchio,283,106,0.3745583038869258
Nathan Lukes,147,55,0.3741496598639456
Dane Myers,123,46,0.37398373983739835
Victor Caratini,206,77,0.3737864077669903
Dominic Canzone,198,74,0.37373737373737376
Colton Cowser,190,71,0.3736842105263158
Willi Castro,265,99,0.37358490566037733
Alex Bregman,348,130,0.3735632183908046
Mike Trout,332,124,0.37349397590361444
Isaac Paredes,300,112,0.37333333333333335
Konnor Griffin,209,78,0.37320574162679426
Austin Hedges,118,44,0.3728813559322034
Alex Jackson,43,16,0.37209302325581395
Blaze Alexander,191,71,0.3717277486910995
Parker Meadows,35,13,0.37142857142857144
Dylan Beavers,124,46,0.3709677419354839
Garrett Mitchell,240,89,0.37083333333333335
Nick Loftin,143,53,0.3706293706293706
Joey Wiemer,81,30,0.37037037037037035
Tommy Troy,81,30,0.37037037037037035
Jake Bauers,262,97,0.3702290076335878
Teoscar Hernández,200,74,0.37
Wade Meckler,92,34,0.3695652173913043
Jeremy Peña,176,65,0.3693181818181818
Kyle Karros,260,96,0.36923076923076925
Trent Grisham,260,96,0.36923076923076925
Alex Freeland,179,66,0.3687150837988827
Andrés Chaparro,38,14,0.3684210526315789
Brandon Marsh,277,102,0.36823104693140796
Nick Gonzales,288,106,0.3680555555555556
Esteury Ruiz,87,32,0.367816091954023
Nathaniel Lowe,196,72,0.3673469387755102
Jorbit Vivas,158,58,0.3670886075949367
